"Sl_No","Acceleration","Air Quality","Distance","Fall","Humidity","Motion Detected","Object Detected","Temperature"
"4666","0","197.703064","95","False","0","False","False","0"
"251","0","331.40036","220","False","0","False","False","0"
"3389","0","211.746002","95","False","0","False","False","0"
"1838","0","176.848892","95","False","0","False","False","0"
"4847","0","197.703064","75","False","0","False","False","0"
"3416","0","194.989822","95","False","0","False","False","0"
"4119","0","181.882904","94","False","0","False","False","0"
"2289","0","174.375458","95","False","0","False","False","0"
"5256","0","197.703064","95","False","0","False","False","0"
"5303","0","194.989822","94","False","0","False","False","0"
"4784","0","208.872772","95","False","0","False","False","0"
"2733","0","176.848892","95","False","0","False","False","0"
"1007","0","153.369461","95","False","0","False","False","0"
"2544","0","176.848892","94","False","0","False","False","0"
"4026","0","179.351288","94","False","0","False","False","0"
"3811","0","176.848892","95","False","0","False","False","0"
"5112","0","197.703064","95","False","0","False","False","0"
"4158","0","184.444077","95","False","0","False","False","0"
"2529","0","176.848892","95","False","0","False","False","0"
"3457","0","189.656082","95","False","0","False","False","0"
"2955","0","181.882904","94","False","0","False","False","0"
"187","0","344.283691","193","False","0","False","False","0"
"4439","0","189.656082","78","False","0","False","False","0"
"3085","0","179.351288","94","False","0","False","False","0"
"154","0","357.596436","196","False","0","False","False","0"
"3846","0","179.351288","95","False","0","False","False","0"
"1581","0","181.882904","94","False","0","False","False","0"
"2884","0","181.882904","95","False","0","False","False","0"
"2485","0","176.848892","94","False","0","False","False","0"
"1175","0","164.765198","95","False","0","False","False","0"
"1259","0","157.847397","94","False","0","False","False","0"
"4340","0","192.307541","95","False","0","False","False","0"
"4545","0","194.989822","95","False","0","False","False","0"
"4051","0","179.351288","95","False","0","False","False","0"
"1933","0","176.848892","95","False","0","False","False","0"
"2322","0","176.848892","95","False","0","False","False","0"
"1091","0","174.375458","95","False","0","False","False","0"
"1303","0","160.126266","95","False","0","False","False","0"
"2558","0","176.848892","94","False","0","False","False","0"
"4355","0","192.307541","95","False","0","False","False","0"
"3617","0","181.882904","95","False","0","False","False","0"
"7","0","302.938629","100","False","0","False","False","0"
"2321","0","176.848892","95","False","0","False","False","0"
"4160","0","184.444077","95","False","0","False","False","0"
"2371","0","176.848892","95","False","0","False","False","0"
"1892","0","176.848892","94","False","0","False","False","0"
"4066","0","181.882904","95","False","0","False","False","0"
"5324","0","192.307541","95","False","0","False","False","0"
"3878","0","179.351288","94","False","0","False","False","0"
"2251","0","174.375458","95","False","0","False","False","0"
"4535","0","194.989822","95","False","0","False","False","0"
"2212","0","179.351288","95","False","0","False","False","0"
"2330","0","174.375458","95","False","0","False","False","0"
"947","0","146.84816","95","False","0","False","False","0"
"5207","0","197.703064","94","False","0","False","False","0"
"5337","0","192.307541","94","False","0","False","False","0"
"1215","0","160.126266","95","False","0","False","False","0"
"3659","0","181.882904","95","False","0","True","False","0"
"115","0","366.716522","45","False","0","False","False","0"
"4177","0","187.034973","94","False","0","False","False","0"
